id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
12228142,bf26d1e6-f0e6-4b99-85c3-28a3c9ff8328,Mon May 07 2018 12:30:42 GMT+0200 (GMT+2),2018-05-07,2018-05-07 10:30:42 UTC,Africa/Johannesburg,890426,ahoehn,,2018-05-07 10:31:27 UTC,2020-02-09 07:19:35 UTC,research,,https://www.inaturalist.org/observations/12228142,https://static.inaturalist.org/photos/17573325/medium.jpg,,"",,4,0,false,3,Canard colvert,Anas platyrhynchos,Кряква,Aves,6930
13308943,817d674a-5b9e-40bb-ae2b-abc61f685593,2018-06-10 1:00:37 am CEST,2018-06-10,2018-06-09 23:00:37 UTC,Paris,979665,milot,Milot Kurshumliu,2018-06-10 20:07:48 UTC,2023-04-09 19:19:04 UTC,research,,https://www.inaturalist.org/observations/13308943,https://static.inaturalist.org/photos/19491790/medium.jpeg,,"",,5,1,false,2,Germano reale,Anas platyrhynchos,Кряква,Aves,6930
13740159,8ec85c38-ef32-4f3b-af39-955e0bf2d38e,2018-06-24 6:45:05 p.m. CEST,2018-06-24,2018-06-24 16:45:05 UTC,Paris,945173,nickeledocus,Nick Scheffers,2018-06-24 16:50:12 UTC,2025-12-03 06:16:20 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/13740159,https://static.inaturalist.org/photos/20249823/medium.jpeg,,"",,2,0,false,2,Mallard,Anas platyrhynchos,Кряква,Aves,6930
14119201,8bb4e774-10b6-4ae2-84ac-e0de7d1034c5,2018-07-06 12:30:00 nachm. MESZ,2018-07-06,2018-07-06 10:30:00 UTC,Amsterdam,995577,volkers,Volker Stricker,2018-07-07 00:39:43 UTC,2018-09-01 10:30:34 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/14119201,https://inaturalist-open-data.s3.amazonaws.com/photos/20915075/medium.jpg,,"",Stockente,3,0,false,2,Germano reale,Anas platyrhynchos,Кряква,Aves,6930
15388255,f0873ae6-f462-44dc-a906-3dcc6b56bfcf,2018-08-13 12:55:04 PM CEST,2018-08-13,2018-08-13 10:55:04 UTC,Paris,827924,samyp,Samuele Pisani,2018-08-13 15:08:37 UTC,2023-04-09 19:32:07 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/15388255,https://inaturalist-open-data.s3.amazonaws.com/photos/23063063/medium.jpeg,,"",,3,0,false,2,Germano reale,Anas platyrhynchos,Кряква,Aves,6930
15443933,c69da2cd-2878-4f70-8b6a-257bcbe1cc20,Thu Jan 04 2018 14:40:36 GMT+0100 (GMT+1),2018-01-04,2018-01-04 13:40:36 UTC,Amsterdam,1140795,zazzonatura,,2018-08-15 10:23:09 UTC,2018-08-15 11:03:14 UTC,research,,https://www.inaturalist.org/observations/15443933,https://static.inaturalist.org/photos/23166492/medium.jpg,,"",,1,0,false,3,Germano reale,Anas platyrhynchos,Кряква,Aves,6930
15843979,7fab3fc4-326c-44a5-816e-d55554b4d85f,Fri Apr 27 2018 03:49:41 GMT-0400 (EDT),2018-04-27,2018-04-27 07:49:41 UTC,Eastern Time (US & Canada),1159640,noj,Noj Elyoc,2018-08-24 15:02:35 UTC,2019-05-06 10:54:14 UTC,research,,https://www.inaturalist.org/observations/15843979,https://static.inaturalist.org/photos/23688874/medium.jpg,,"",,3,0,false,3,Canard colvert,Anas platyrhynchos,Кряква,Aves,6930
16696671,777b1db9-c353-48d5-a042-464760809481,2018/09/14 5:35 PM BST,2018-09-14,2018-09-14 16:35:00 UTC,Edinburgh,631947,jarvo,Jon J. Laysell,2018-09-19 20:53:30 UTC,2025-02-01 11:10:54 UTC,research,CC-BY,https://www.inaturalist.org/observations/16696671,https://inaturalist-open-data.s3.amazonaws.com/photos/25186328/medium.jpg,,"",,5,0,false,,Germano reale,Anas platyrhynchos,Кряква,Aves,6930
17048699,73d50182-dfb1-418c-badd-3c58d3c2be15,2016-06-20,2016-06-20,,Hawaii,963904,askalotl,"",2018-09-30 01:11:58 UTC,2021-06-20 02:14:09 UTC,research,CC0,https://www.inaturalist.org/observations/17048699,https://inaturalist-open-data.s3.amazonaws.com/photos/25794173/medium.png,,"","",1,0,false,,Mallard,Anas platyrhynchos,Кряква,Aves,6930
18459903,096cfc5e-d65b-4e8e-9896-0fddd1735da0,Mon Oct 01 2018 16:29:04 GMT+0100 (GMT+1),2018-10-01,2018-10-01 14:29:04 UTC,Amsterdam,1356487,vimal4david,,2018-11-17 23:39:10 UTC,2019-04-28 19:58:42 UTC,research,,https://www.inaturalist.org/observations/18459903,https://static.inaturalist.org/photos/28226110/medium.jpg,,"",,5,0,false,3,Mallard,Anas platyrhynchos,Кряква,Aves,6930
